ticker,ann_date,surprise,beat,drift_return
WMT,2020-08-18,24.11,True,0.11532316668263709
PG,2026-04-24,2.22,True,-0.0339622637600393
PG,2026-01-22,1.25,True,0.060073230525344856
PG,2025-10-24,4.92,True,-0.041123127397997616
PG,2025-07-29,4.14,True,0.016548973433488268
PG,2025-04-24,0.93,True,-0.02086691335531765
PG,2025-01-22,1.1,True,0.022629156560306507
PG,2024-10-18,1.75,True,-0.026306420513277695
PG,2024-07-30,1.92,True,0.0500125272998464
PG,2024-04-19,7.48,True,0.02429300726555872
PG,2024-01-23,8.28,True,0.04601650766427268
PG,2023-10-18,6.34,True,0.021517699327109785
PG,2023-07-28,3.48,True,-0.0032631320277988207
PG,2023-04-21,3.46,True,-0.006715774684111997
PG,2023-01-19,-0.01,False,-0.0025179976012944527
PG,2022-10-19,1.41,True,0.03968824175096897
PG,2022-07-29,-1.43,False,0.03960813065916202
PG,2022-04-20,2.88,True,-0.050119944772543334
PG,2022-01-19,0.41,True,0.013209816563791943
PG,2021-10-19,1.2,True,0.03356146777989011
PG,2021-07-30,4.13,True,0.019452977971993635
PG,2021-04-20,6.1,True,-0.0185320429955107
PG,2021-01-20,8.8,True,-0.015113295903445123
PG,2020-10-20,14.89,True,-0.012768404044419923
HD,2026-05-19,0.69,True,0.005457010119173544
HD,2026-02-24,7.8,True,-0.0658465699709122
HD,2025-11-18,-2.45,False,0.056625813939323866
HD,2025-08-19,-0.31,False,0.030580948178773104
HD,2025-05-20,-0.81,False,0.0019819173313930794
HD,2025-02-25,-0.79,False,-0.06594442305951831
HD,2024-11-12,0.33,True,0.04692838622014661
HD,2024-08-13,1.16,True,0.04788276460074936
HD,2024-05-14,0.57,True,-0.049335132652868374
HD,2024-02-20,1.63,True,0.04275240109445555
HD,2023-11-14,1.35,True,0.024027574014765296
HD,2023-08-15,4.68,True,-0.0008667269400801647
HD,2023-05-16,0.52,True,-0.006579342871045779
HD,2023-02-21,0.4,True,-0.009109467273167748
HD,2022-11-15,2.96,True,0.04489768476052802
HD,2022-08-16,2.36,True,-0.10884758853782517
HD,2022-05-17,10.83,True,0.07932433466380084
HD,2022-02-22,0.87,True,0.03457375292078191
HD,2021-11-16,15.29,True,0.036992379603244085
HD,2021-08-17,2.33,True,0.011617054670345128
HD,2021-05-18,26.58,True,-0.004410830748995953
HD,2021-02-23,4.59,True,0.030535684147603437
HD,2020-11-17,4.77,True,-0.0008444957894410132
HD,2020-08-18,8.06,True,0.020697794842869266
KO,2026-04-28,5.88,True,0.01762390357474497
KO,2026-02-10,2.69,True,0.0241730790492638
KO,2025-10-21,5.32,True,-0.032481144476275814
KO,2025-07-22,3.93,True,0.0050606418283696275
KO,2025-04-29,1.95,True,-0.04672647217732506
KO,2025-02-11,6.38,True,0.0314365937042711
KO,2024-10-23,3.18,True,-0.054086222640947756
KO,2024-07-23,4.26,True,0.040267413011629616
KO,2024-04-30,3.4,True,0.01937667304216295
